bairro;mun;qt_den 
BOCAININHA;VASSOURAS;1;
RESIDENCIA;VASSOURAS;5;
MASSAMBARA;VASSOURAS;1;
GRECO;VASSOURAS;1;
CONFIM;VASSOURAS;1;
OLARIA;VASSOURAS;1;
ANDRADE PINTO;VASSOURAS;2;
FRATERNIDADE;PIRAI;1;
SERRA DAS ARARAS;PIRAI;1;
CACARIA;PIRAI;2;
SAROLE;PIRAI;2;
ASILO PINHEIRO;PIRAI;8;
AZILO;PIRAI;1;
ARROZAL;PIRAI;13;
QUATRO DE ABRIL;PIRAI;1;
SERRA DO MATOSO;PIRAI;1;
ATERRO;PIRAI;1;
CAICARAS;PIRAI;6;
FLORESTA;PIRAI;1;
PALMEIRAS;PIRAI;1;
CENTRO;PIRAI;11;
ROSA MACHADO;PIRAI;1;
JAQUEIRA;PIRAI;2;
COUNTRY CLUBE;PIRAI;1;
SEPETIBA;PIRAI;1;
CASA AMARELA;PIRAI;3;
BARRETO;NATIVIDADE;2;
CENTRO;NATIVIDADE;1;
ORANIA;NATIVIDADE;1;
LIBERDADE;NATIVIDADE;1;
NOVA CANDEIA;CANDEIAS;1;
LOTEAMENTO;DUAS BARRAS;1;
IMBARIE;DUAS BARRAS;2;
CENTRO;DUAS BARRAS;1;
NOVA BARRA;BARRA DO GARCAS;1;
CENTRO;ALFENAS;3;
SAO PAULO;GUARARA;1;
PADRE TIAGO;PATROCINIO DO MURIAE;1;
CENTRO;PATROCINIO DO MURIAE;1;
TAPERAPUAN;PORTO SEGURO;2;
CAMBOLO;PORTO SEGURO;1;
CENTRO;PORTO SEGURO;1;
CABO SANTO ANTONIO;SANTA TEREZINHA;1;
ROSARIO;ARGIRITA;1;
CENTRO;TIMBAUBA;1;
CENTRO;PIUMA;1;
REPARTICAO;CROATA;1;
RODOLFO;CORDEIRO;1;
RETIRO;CORDEIRO;1;
ARRAIAL DO SAPO;CORDEIRO;1;
RETIRO POETICO;CORDEIRO;8;
CENTRO;CORDEIRO;6;
BNH;CORDEIRO;2;
ALTO DO RETIRO;CORDEIRO;2;
SAO LUIZ;CORDEIRO;4;
SUMARE;CORDEIRO;1;
LAVRINHA;CORDEIRO;1;
MANANCIAL;CORDEIRO;2;
PIRAZZO;CORDEIRO;1;
CAMPATY;CORDEIRO;1;
CONSTANTINO;CORDEIRO;1;
BALSA NOVA;CAMPO LARGO;1;
SANTO ANTONIO;PORTO ALEGRE;1;
PARTENON;PORTO ALEGRE;1;
VILA MARIA DA CONCEICAO;PORTO ALEGRE;1;
PELOTAS;PORTO ALEGRE;1;
BOM JESUS;PORTO ALEGRE;2;
MANGUEIRAS;MIGUEL PEREIRA;4;
VILA SUICA;MIGUEL PEREIRA;4;
RAMADA;MIGUEL PEREIRA;1;
ROZEIRAL;MIGUEL PEREIRA;1;
COMENDADOR PORTELA;MIGUEL PEREIRA;1;
JAVARI;MIGUEL PEREIRA;1;
PARLEME;MIGUEL PEREIRA;1;
PRACA DA PONTE;MIGUEL PEREIRA;27;
VERA CRUZ;MIGUEL PEREIRA;7;
CLUBE VELHO;MIGUEL PEREIRA;3;
PORTELA;MIGUEL PEREIRA;4;
CAPIVARI;MIGUEL PEREIRA;1;
ROSEIRAL;MIGUEL PEREIRA;3;
PLANTE CAFE;MIGUEL PEREIRA;4;
BARAO JAVARI;MIGUEL PEREIRA;3;
MAGUEIRA;MIGUEL PEREIRA;1;
GOVERNADOR PORTELA;MIGUEL PEREIRA;12;
VILA SUISSA;MIGUEL PEREIRA;2;
LAGOINHA;MIGUEL PEREIRA;7;
LAGOA DAS LONTRAS;MIGUEL PEREIRA;1;
CENTRO;MIGUEL PEREIRA;50;
ESTANCIA ALELUIA;MIGUEL PEREIRA;1;
SUMERVILE;MIGUEL PEREIRA;1;
CALCADA;MIGUEL PEREIRA;1;
PREFEITURA VELHA;MIGUEL PEREIRA;1;
SAO JUDAS TADEU;MIGUEL PEREIRA;4;
SANTA BRANCA;MIGUEL PEREIRA;1;
SUMERVILLE;MIGUEL PEREIRA;2;
PRACA DA PONTES;MIGUEL PEREIRA;1;
FUTURISTA;MIGUEL PEREIRA;4;
CONRADO;MIGUEL PEREIRA;10;
JARDIM BOA VISTA DOIS;CAMPOS DOS GOYTACAZES;1;
NOVO JOCKEY;CAMPOS DOS GOYTACAZES;1;
DORES DE MACABU;CAMPOS DOS GOYTACAZES;3;
AEROPORTO;CAMPOS DOS GOYTACAZES;1;
