PARQUE S J TADEU;SAO JOAO DE MERITI;50;PARQUE SAO JUDAS TADEU
PARQUE S MARCELO;QUEIMADOS;24;PARQUE SAO MARCELO
PARQUE S NICOLAU;SAO JOAO DE MERITI;1102;PARQUE SAO NICOLAU
PARQUE S P ALCANTARA;DUQUE DE CAXIAS;153;PARQUE SAO PEDRO DE ALCANTARA
PARQUE S SEBASTIAO;SAO GONCALO;43;PARQUE SAO SEBASTIAO
PARQUE S VICENTE;BELFORD ROXO;313;PARQUE SAO VICENTE
PARQUE S V PAULO;NOVA IGUACU;124;PARQUE SAO VICENTE DE PAULO
PARQUE T MENEZES;SAO JOAO DE MERITI;21;PARQUE TELES MENEZES
PARQUE T SANTOS;NOVA IGUACU;34;PARQUE TODOS OS SANTOS
PARQUE T CORACOES;NOVA IGUACU;40;PARQUE TRES CORACOES
PARQUE VL NOVA;DUQUE DE CAXIAS;66;PARQUE VILA NOVA
P TRES;RIO CLARO;4;PASSA TRES
P GRANDE;MAGE;31;PAU GRANDE
P PEQUENO;NITEROI;47;PE PEQUENO
P GUARATIBA;RIO DE JANEIRO;833;PEDRA DE GUARATIBA
P DE GUARATIBA;RIO DE JANEIRO;2;PEDRA DE GUARATIBA
P GUARATIVA;RIO DE JANEIRO;1;PEDRA DE GUARATIBA
PD GUARATIBA;RIO DE JANEIRO;1;PEDRA DE GUARATIBA
P CIRCULAR;RIO DE JANEIRO;2643;PENHA CIRCULAR
P CIRCLAR;RIO DE JANEIRO;1;PENHA CIRCULAR
P NEGRA;MARICA;43;PONTA NEGRA
P ROSA;SAO GONCALO;358;PORTO DO ROSA
PORTAO ROSA;SAO GONCALO;3;PORTO DO ROSA
PORTAO DO ROSA;SAO GONCALO;9;PORTO DO ROSA
PORTO ROSA;SAO GONCALO;0;PORTO DO ROSA
P NOVO;SAO GONCALO;28;PORTO NOVO
PT NOVO;RIO DE JANEIRO;8;PORTO NOVO
P VELHO;SAO GONCALO;12;PORTO VELHO
PCA SECA;RIO DE JANEIRO;7;PRACA SECA
PC SECA;RIO DE JANEIRO;7;PRACA SECA
P VERDES;QUEIMADOS;147;PRADOS VERDES
PR MAUA;MAGE;73;PRAIA DE MAUA
PR SACO;MANGARATIBA;26;PRAIA DO SACO
PR GRANDE;ARRAIAL DO CABO;37;PRAIA GRANDE
PR SECA;ARARUAMA;12;PRAIA SECA
P VERMELHA;RIO DE JANEIRO;2;PRAIA VERMELHA
P JUSCELINO;NOVA IGUACU;1105;PRESIDENTE JUSCELINO
Q BRASILEIRO;PETROPOLIS;110;QUARTEIRAO BRASILEIRO
Q BOCAIUVA;RIO DE JANEIRO;2071;QUINTINO BOCAIUVA
R NOVO;NOVA IGUACU;20;RANCHO NOVO
R VEIGA;SAO GONCALO;349;RAUL VEIGA
RCR BANDEIRANTES;RIO DE JANEIRO;2118;RECREIO DOS BANDEIRANTES
R BANDEIRANTES;RIO DE JANEIRO;18;RECREIO DOS BANDEIRANTES
RCR DOS BANDEIRANTES;RIO DE JANEIRO;7;RECREIO DOS BANDEIRANTES
RC BANDEIRANTES;RIO DE JANEIRO;3;RECREIO DOS BANDEIRANTES
RC DOS BANDEIRANTES;RIO DE JANEIRO;2;RECREIO DOS BANDEIRANTES
RCR  BANDEIRANTES;RIO DE JANEIRO;2;RECREIO DOS BANDEIRANTES
RCR NBANDEIRANTES;RIO DE JANEIRO;1;RECREIO DOS BANDEIRANTES
RCR BANDEIRANTE;RIO DE JANEIRO;1;RECREIO DOS BANDEIRANTES
RCR  BANDEIRANTE;RIO DE JANEIRO;1;RECREIO DOS BANDEIRANTES
R DOS BANDEIRANTES;RIO DE JANEIRO;1;RECREIO DOS BANDEIRANTES
RCR ITAPOA;NOVA IGUACU;28;RECREIO ITAPOA
RCR P MARAMBAIA;NOVA IGUACU;39;RECREIO PACO DA MARAMBAIA
R NOVA;ITABORAI;45;RETA NOVA
R VELHA;ITABORAI;121;RETA VELHA
R ALBUQUERQUE;RIO DE JANEIRO;3070;RICARDO DE ALBUQUERQUE
R DE ALBUQUERQUE;RIO DE JANEIRO;6;RICARDO DE ALBUQUERQUE
R ALBURQUERQUE;RIO DE JANEIRO;3;RICARDO DE ALBUQUERQUE
R  ALBUQUERQUE;RIO DE JANEIRO;2;RICARDO DE ALBUQUERQUE
R ALBULQUERQUE;RIO DE JANEIRO;1;RICARDO DE ALBUQUERQUE
S TERESA;RIO DE JANEIRO;4395;RIO COMPRIDO
R CUMPRIDO;RIO DE JANEIRO;20;RIO COMPRIDO
R  COMPRIDO;RIO DE JANEIRO;1;RIO COMPRIDO
R DAS PEDRAS;RIO DE JANEIRO;5;RIO DAS PEDRAS
R D PEDRAS;RIO DE JANEIRO;2;RIO DAS PEDRAS
R  PEDRAS;RIO DE JANEIRO;1;RIO DAS PEDRAS
R IO DAS PEDRAS;RIO DE JANEIRO;1;RIO DAS PEDRAS
R OURO;NITEROI;1338;RIO DO OURO
R OURO;SAO GONCALO;1338;RIO DO OURO
R VARZEA;ITABORAI;117;RIO VARZEA
R MIRANDA;RIO DE JANEIRO;3844;ROCHA MIRANDA
R   MIRANDA;RIO DE JANEIRO;2;ROCHA MIRANDA
R SOBRINHO;MESQUITA;944;ROCHA SOBRINHO
R VENTOS;NOVA IGUACU;392;ROSA DOS VENTOS
S FLORES;MARICA;57;SACO DAS FLORES
VILA S ALICE;DUQUE DE CAXIAS;56;SANTA ALICE
S AMELIA;BELFORD ROXO;67;SANTA AMELIA
S ANITA;SAO GONCALO;45;SANTA ANITA
S BARBARA;NITEROI;191;SANTA BARBARA
PARQUE S BRANCA;BELFORD ROXO;56;SANTA BRANCA
S BRANCA;MESQUITA;21;SANTA BRANCA
S CANDIDA;ITAGUAI;24;SANTA CANDIDA
S CATARINA;SAO GONCALO;179;SANTA CATARINA
S CECILIA;BELFORD ROXO;97;SANTA CECILIA
S CLARA;MESQUITA;20;SANTA CLARA
S CRUZ;RIO DE JANEIRO;11798;SANTA CRUZ
ST CRUZ;RIO DE JANEIRO;18;SANTA CRUZ
S  CRUZ;RIO DE JANEIRO;2;SANTA CRUZ
S CTUZ;RIO DE JANEIRO;1;SANTA CRUZ
S CRUS;RIO DE JANEIRO;1;SANTA CRUZ
S C SERRA;DUQUE DE CAXIAS;485;SANTA CRUZ DA SERRA
S CRUZ DA SERRA;DUQUE DE CAXIAS;39;SANTA CRUZ DA SERRA
S EMILIA;BELFORD ROXO;53;SANTA EMILIA
S EUGENIA;NOVA IGUACU;119;SANTA EUGENIA
S ISABEL;SAO GONCALO;2083;SANTA ISABEL
S LUCIA;DUQUE DE CAXIAS;474;SANTA LUCIA
CDOR SOARES;NOVA IGUACU;433;COMENDADOR SOARES
S LUZIA;SAO GONCALO;911;SANTA LUZIA
S MARGARIDA;RIO DE JANEIRO;5;SANTA MARGARIDA
S MARIA;BELFORD ROXO;41;SANTA MARIA
S MARTA;BELFORD ROXO;24;SANTA MARTA
S RITA;NOVA IGUACU;221;SANTA RITA
S ROSA;NITEROI;2022;SANTA ROSA
